U,V
4059,0
4082,0
4102,0
4119,0
4134,7
4147,7
4157,230
4166,1132
4172,1594
4176,2721
4178,3551
4179,4205
4178,4802
4176,5504
4173,6062
4169,6348
4164,6450
4159,6540
4154,6525
4148,6571
4142,6586
4137,6555
4132,6570
4128,6540
4125,5155
4123,6570
4122,6555
4122,6570
4123,6540
4126,6555
4130,6571
4136,6540
4143,6571
4152,6540
4162,6555
4174,6541
4187,6525
4202,6540
4217,6540
4234,6555
4251,6540
4269,6540
4288,6555
4307,6540
4326,6525
4345,6525
4364,6525
4383,6510
4400,6510
4417,6510
4433,6525
4447,6544
4460,6510
4471,6540
4481,6525
4488,6510
4493,6525
4495,6495
4496,6510
4493,6525
4488,6510
4481,6495
4471,6540
4458,6525
4442,6495
4424,6495
4403,6525
4380,6495
4355,6495
4327,6525
4297,6495
4265,6480
4232,6495
4197,6495
4161,6525
4124,6480
4086,6495
4048,6495
4009,6510
3970,6495
3932,6480
3894,6510
3857,6495
3821,6480
3786,6450
3752,6377
3720,6306
3690,6194
3662,6113
3637,6022
3613,5946
3592,5883
3574,5822
3558,5751
3545,5692
3535,5658
3527,5591
3522,5547
3520,5525
3520,5503
3523,5503
3528,5503
3535,5503
3545,5503
3556,5514
3569,5558
3583,5569
3599,5580
3615,5647
3633,5669
3650,5739
3669,5775
3687,5810
3705,5883
3722,5920
3739,5937
3755,6022
3770,6074
3783,6113
3795,6167
3805,6222
3814,6263
3820,6263
3824,6305
3826,6334
3826,6338
3824,6348
3819,6348
3812,6362
3802,6362
3790,6291
3776,6305
3760,6277
3742,6236
3721,6181
3699,6140
3676,6113
3651,6061
3625,5983
3598,5896
3570,5859
3541,5763
3512,5704
3483,5602
3454,5514
3426,5418
3397,5356
3370,5247
3343,5169
3318,5085
3293,5022
3271,4934
3249,4857
3230,4791
3212,4711
3196,4641
3182,4572
3169,4521
3159,4599
3151,4436
3145,4531
3140,4460
3138,4326
3137,4411
3138,4293
3140,4391
3144,3519
3149,4383
3155,4293
3162,4313
3169,4425
3177,4333
3186,4461
3194,4380
3202,4422
3210,4524
3217,4464
3223,4485
3228,4621
3233,4542
3236,4550
3237,4565
3237,4699
3235,4587
3231,4587
3225,4587
3218,4595
3208,4674
3196,4557
3182,4528
3166,4513
3149,4569
3129,4422
3108,4497
3085,4326
3060,4260
3034,3483
3007,4245
2979,4081
2950,4122
2920,4056
2890,3889
2860,3898
2831,3851
2801,3788
2773,3728
2745,3655
2718,3585
2693,3523
2670,3465
2648,3426
2628,3343
2611,3268
2596,3226
2584,3158
2575,3122
2568,3073
2565,3011
2564,2964
2567,2942
2573,2912
2582,2885
2594,2865
2609,2847
2628,2847
2649,2847
2673,2853
2700,2876
2729,2909
2761,2933
2795,2995
2831,3041
2868,3114
2907,3218
2947,3294
2989,3426
3030,3560
3073,3706
3116,3816
3158,3968
3200,4064
3242,4289
3283,4353
3323,4506
3361,4738
