U,V
4059,97
4082,97
4102,97
4119,97
4134,97
4147,97
4157,97
4166,97
4172,97
4176,97
4178,41
4179,97
4178,441
4176,441
4173,441
4169,441
4164,441
4159,441
4154,446
4148,446
4142,446
4137,3442
4132,3442
4128,3442
4125,3103
4123,3103
4122,3103
4122,3103
4123,3103
4126,3103
4130,3103
4136,3103
4143,3103
4152,3103
4162,2135
4174,2135
4187,2135
4202,2135
4217,2135
4234,2135
4251,4346
4269,4346
4288,2225
4307,2225
4326,4570
4345,4570
4364,4570
4383,2358
4400,2358
4417,2358
4433,4894
4447,4894
4460,4894
4471,4894
4481,4894
4488,5286
4493,5286
4495,2750
4496,14
4493,14
4488,14
4481,14
4471,14
4458,14
4442,14
4424,14
4403,14
4380,14
4355,14
4327,14
4297,14
4265,2149
4232,2149
4197,14
4161,14
4124,14
4086,14
4048,14
4009,14
3970,14
3932,14
3894,14
3857,14
3821,14
3786,14
3752,14
3720,2164
3690,2164
3662,14
3637,14
3613,14
3592,14
3574,14
3558,14
3545,14
3535,14
3527,14
3522,14
3520,14
3520,14
3523,14
3528,3198
3535,3198
3545,3198
3556,3198
3569,3198
3583,3198
3599,3198
3615,6034
3633,6034
3650,6034
3669,6034
3687,5712
3705,5712
3722,5712
3739,5712
3755,5712
3770,8448
3783,8448
3795,8448
3805,8448
3814,8448
3820,8448
3824,8448
3826,8448
3826,8448
3824,8448
3819,8448
3812,8448
3802,8448
3790,8448
3776,8448
3760,8448
3742,5612
3721,2750
3699,14
3676,14
3651,14
3625,14
3598,14
3570,14
3541,14
3512,14
3483,14
3454,14
3426,14
3397,14
3370,14
3343,3073
3318,3073
3293,3073
3271,3073
3249,3073
3230,3073
3212,3073
3196,5568
3182,5568
3169,5568
3159,5568
3151,5568
3145,2509
3140,2509
3138,5294
3137,5294
3138,5294
3140,2799
3144,2799
3149,5092
3155,5092
3162,2307
3169,2307
3177,4358
3186,4358
3194,2065
3202,2065
3210,4001
3217,4001
3223,1932
3228,1950
3233,1910
3236,3910
3237,1974
3237,1974
3235,1932
3231,3935
3225,1974
3218,1974
3208,1932
3196,3999
3182,2038
3166,2038
3149,2031
3129,4062
3108,2038
3085,2038
3060,2038
3034,2038
3007,2038
2979,2038
2950,2038
2920,2038
2890,5158
2860,5158
2831,3134
2801,3134
2773,4632
2745,4632
2718,1511
2693,1511
2670,1511
2648,1511
2628,3484
2611,3484
2596,1987
2584,1987
2575,1987
2568,3369
2565,3369
2564,3369
2567,6489
2573,6489
2582,3134
2594,3134
2609,3134
2628,3134
2649,14
2673,2703
2700,2703
2729,2703
2761,2703
2795,2703
2831,2703
2868,14
2907,2549
2947,2549
2989,2549
3030,2549
3073,2549
3116,2531
3158,14
3200,2876
3242,2876
3283,2876
3323,2876
3361,2876
3399,2876
3434,2876
3468,3443
3500,3443
3529,3443
3557,3443
3582,3443
3605,5494
3626,5494
3645,5494
3661,5494
3674,5036
3686,5036
3695,5036
3703,5077
3708,5077
3712,5077
3714,5077
3714,5077
3714,5077
3712,4621
3709,4621
3706,4621
3702,4621
3697,4621
3693,5529
3689,5529
3685,5529
3682,5529
3679,5529
3677,5529
3676,5529
3676,8500
3678,8500
3681,8500
3685,8500
3691,8500
3699,8500
3708,8500
3718,9137
3730,9137
3744,9137
3759,9137
3776,9137
3794,9137
3813,6137
3832,3165
3853,3138
3875,2038
3896,2012
3919,14
3941,14
3963,14
3985,14
4006,14
4027,14
4046,14
4064,14
4081,14
4097,14
4110,14
4122,14
4131,14
4138,14
4143,14
4146,14
4146,14
4143,14
4138,14
4130,41
4119,2149
4106,2149
4090,14
4072,14
4052,14
4029,14
4005,14
3978,14
3950,14
3920,14
3889,14
3857,14
3824,14
3791,14
3757,14
3723,37
3689,2135
3656,2135
3624,14
3592,14
3562,14
3533,14
3506,14
3480,14
3457,14
3435,14
3417,14
3400,14
3386,14
3375,14
3367,14
3361,14
3358,14
3357,2106
3360,2106
3365,2106
3372,4487
3382,4487
3394,4487
3408,4487
3425,4487
3443,4343
3462,4343
3483,4343
3505,4343
3528,4343
3551,1962
3575,1962
3599,1962
3623,4112
3647,4112
3669,4112
3691,2164
3712,2164
3732,2164
3751,5593
3767,5593
3782,5593
3795,5593
3806,6798
3814,6798
3821,6798
3825,6798
3827,6798
3826,6798
3823,6798
3818,6798
3810,6798
3801,6798
3789,6798
3775,6798
3760,6798
3742,6798
3724,6798
3704,6798
3683,6798
3661,6798
3638,6798
3615,3369
3592,14
3569,14
3546,14
3523,14
3501,14
3479,14
3459,14
3440,14
3422,2774
3406,2774
3391,2774
3378,2774
3367,2774
3358,2774
3351,2774
3345,2774
3342,5374
3340,5374
3340,5374
3343,5374
3347,4637
3352,4637
3359,4637
3368,4637
3378,3760
3388,3760
3400,3760
3412,1735
3425,1735
3438,5020
3451,5020
3464,5020
3477,3298
3489,3298
3501,3298
3511,5110
3520,5110
3528,5110
3535,5110
3539,1826
3543,1826
3544,1826
3543,4170
3540,4170
3536,4170
3529,5002
3520,5002
3509,5002
3496,5002
3480,5002
3464,5002
3445,5493
3425,5493
3403,5493
3380,5539
3356,5539
3331,5539
3305,5539
3279,5539
3252,5539
3226,4754
3199,4754
3174,4754
3149,2065
3125,2065
3102,5065
3081,5065
3062,5065
3045,3014
3029,3014
3016,5324
3006,5324
2998,5324
2993,2324
2991,2324
2992,2324
2996,2324
3004,2324
3014,5295
3027,5295
3044,2985
3063,2985
3085,2985
3110,2985
3138,6414
3168,6414
3201,6414
3236,6414
3272,6414
3311,6414
3351,6414
3392,6414
3434,6414
3477,6414
3520,6414
3564,5901
3608,5901
3651,2929
3694,2929
3736,5715
3776,5715
3816,5715
3854,5715
3891,5715
3925,2799
3958,2799
3989,2799
4017,2799
4044,5335
4067,5335
4089,5335
4108,5335
4125,5335
4139,5335
4151,5335
4160,5335
4168,5335
4173,2549
4177,2549
4179,14
4179,14
4178,14
4175,14
4172,14
4168,2135
4163,2135
4157,2135
4152,14
4146,14
4140,14
4135,14
4131,14
4127,14
4124,14
4122,14
4121,14
4122,14
4124,14
4127,14
4132,14
4138,14
4146,14
4155,2149
4166,2149
4178,14
4192,14
4207,14
4223,14
4240,14
4257,14
4276,14
4294,14
4314,14
4333,14
4352,14
4371,14
4389,14
4406,44
4423,2149
4438,2149
4452,14
4464,14
4475,14
4483,14
4490,14
4494,14
4496,14
4495,14
4492,14
4486,14
4478,14
4466,14
4453,14
4436,14
4417,2149
4395,2149
4371,2149
4345,14
4317,14
4286,14
4254,14
4220,14
4185,14
4148,14
4111,14
4073,14
4034,14
3996,14
3957,14
3919,14
3881,14
3844,2149
3808,2149
3774,14
3741,14
3710,14
3680,14
3653,14
3628,14
3606,14
3586,14
3568,14
3554,14
3541,14
3532,14
3525,14
3521,14
3520,14
3521,14
3525,2726
3530,2726
3538,2726
3548,2726
3560,2726
3574,2726
3588,2726
3604,2726
3621,5242
3639,5242
3657,5242
3675,5242
3693,5265
3711,5265
3728,5265
3745,5265
3760,8733
3775,8733
3788,8733
3799,8733
3809,8733
3816,6217
3822,6217
3825,6217
3827,6217
3826,6217
3822,6217
3817,6238
3808,5442
3798,1974
3785,14
3771,14
3754,14
3735,14
3714,14
3692,14
3668,14
3642,14
3616,14
3588,14
3560,14
3531,14
3502,14
3473,14
3444,14
3416,14
3388,33
3361,3443
3334,3443
3309,3443
3285,3443
3263,6728
3242,6728
3223,6728
3206,5626
3191,5626
3177,5626
3166,5626
3156,5591
3149,5591
3143,6180
3139,6180
3137,6180
3137,6180
3139,5292
3142,5292
3146,2376
3151,2376
3157,4483
3164,4483
3172,2131
3180,2120
3188,4081
3197,4081
3205,1974
3212,1974
3219,3863
3225,3863
3230,1903
3234,1903
3236,3815
3237,3815
3236,1926
3234,1926
3229,3887
3223,3887
3215,1974
3204,1974
3192,1974
3177,3973
3161,2012
3142,2012
3122,2012
3100,2012
3076,2012
3051,2012
3025,2012
2997,2012
2969,2012
2940,3773
2910,3773
2880,1774
2850,1774
2821,1774
2791,1774
2763,4774
2736,4774
2710,3014
2685,3014
2662,3014
2641,3014
2622,4784
2606,4784
2592,1784
2581,1784
2572,5214
2567,3443
2564,3443
2565,3443
2569,3014
2576,3014
2586,3014
2599,3014
2615,3014
2635,3014
2657,14
2682,2657
2710,2657
2740,2657
2772,2657
2807,2657
2843,2657
2881,14
2921,29
2961,2549
3003,2549
3045,2549
3088,2549
3130,2549
3173,14
3215,14
3256,14
3297,3165
3336,3165
3374,3133
3411,3165
3446,3165
3479,3165
3510,5190
3539,5190
3566,2038
3591,2038
3613,4049
3633,4049
3650,2025
3666,2025
3679,5084
3689,5084
3698,5084
3705,5238
3710,5238
3713,5238
3714,5238
3714,5238
3713,5238
3711,4489
3708,4489
3704,4489
3700,4489
3696,4489
3692,5036
3688,5036
3684,5036
3681,5036
3678,5036
3677,5036
3676,8036
3677,8036
3679,8036
3682,8036
3687,8036
3694,8036
3702,8036
3711,5726
3722,5726
3735,5726
3749,5726
3765,5726
3782,5726
3800,5726
3819,5799
3839,5799
3860,5799
3882,5799
3904,5799
3926,5799
3949,5799
3971,5799
3992,5799
4013,2799
4033,2799
